omega,n_gaps,mean_dN,mode_dN,mode_6dN,mode_share_%,top1_6dN,top2_6dN,top3_6dN
0,1,12.000,12,72,100.000,72(100.00%),,
1,2722268,62.329,35,210,2.517,210(2.52%),90(2.51%),30(2.25%)
2,7808057,62.371,5,30,2.357,30(2.36%),210(2.35%),90(2.19%)
3,8377960,62.571,5,30,2.479,30(2.48%),42(2.38%),210(2.15%)
4,4111772,62.760,7,42,2.764,42(2.76%),30(2.63%),60(2.23%)
5,895492,63.070,7,42,3.094,42(3.09%),30(2.84%),60(2.69%)
6,71386,63.043,7,42,3.569,42(3.57%),60(3.36%),138(3.24%)
7,1236,61.581,12,72,5.178,72(5.18%),42(5.10%),102(5.02%)
