dN,6dN,count,share_%
1,6,23620,0.7915
2,12,62910,2.1081
3,18,46246,1.5497
4,24,29229,0.9795
5,30,91000,3.0494
6,36,25752,0.8629
7,42,83143,2.7861
8,48,44778,1.5005
9,54,30154,1.0105
10,60,66138,2.2163
11,66,29390,0.9849
12,72,54265,1.8184
13,78,51405,1.7226
14,84,33312,1.1163
15,90,66978,2.2444
16,96,25945,0.8694
17,102,44893,1.5044
18,108,42981,1.4403
19,114,26511,0.8884
20,120,53241,1.7841
21,126,29826,0.9995
22,132,47174,1.5808
23,138,52644,1.7641
24,144,15245,0.5109
25,150,52446,1.7575
26,156,29584,0.9914
27,162,31197,1.0454
28,168,53085,1.7789
29,174,18270,0.6122
30,180,63623,2.1320
31,186,16207,0.5431
32,192,29859,1.0006
33,198,45509,1.5250
34,204,15628,0.5237
35,210,71782,2.4054
36,216,12430,0.4165
37,222,39194,1.3134
38,228,27912,0.9353
39,234,14952,0.5010
40,240,55680,1.8658
41,246,12296,0.4120
42,252,36001,1.2064
43,258,24201,0.8110
44,264,18622,0.6240
45,270,32924,1.1033
46,276,11674,0.3912
47,282,27445,0.9197
48,288,25662,0.8599
49,294,16266,0.5451
50,300,27857,0.9335
51,306,17836,0.5977
52,312,21748,0.7288
53,318,19259,0.6454
54,324,11613,0.3892
55,330,34257,1.1479
56,336,15180,0.5087
57,342,19510,0.6538
58,348,23237,0.7787
59,354,9054,0.3034
60,360,23968,0.8032
