dN,6dN,count,share_%
1,6,152141,0.6342
2,12,407036,1.6968
3,18,300761,1.2538
4,24,188883,0.7874
5,30,588848,2.4547
6,36,167555,0.6985
7,42,545889,2.2757
8,48,293865,1.2250
9,54,201986,0.8420
10,60,441705,1.8413
11,66,193726,0.8076
12,72,361883,1.5086
13,78,344228,1.4350
14,84,224669,0.9366
15,90,455635,1.8994
16,96,174560,0.7277
17,102,307676,1.2826
18,108,293255,1.2225
19,114,182402,0.7604
20,120,368051,1.5343
21,126,204034,0.8506
22,132,328630,1.3700
23,138,364129,1.5180
24,144,109151,0.4550
25,150,365676,1.5244
26,156,207212,0.8638
27,162,220480,0.9191
28,168,377822,1.5750
29,174,129453,0.5397
30,180,456504,1.9030
31,186,118140,0.4925
32,192,214819,0.8955
33,198,329759,1.3747
34,204,112883,0.4706
35,210,523730,2.1833
36,216,91678,0.3822
37,222,290012,1.2090
38,228,209113,0.8717
39,234,113096,0.4715
40,240,416689,1.7371
41,246,92635,0.3862
42,252,274433,1.1440
43,258,187400,0.7812
44,264,143975,0.6002
45,270,252365,1.0520
46,276,89079,0.3713
47,282,213044,0.8881
48,288,199046,0.8298
49,294,127873,0.5331
50,300,217774,0.9078
51,306,137210,0.5720
52,312,174359,0.7269
53,318,151145,0.6301
54,324,94517,0.3940
55,330,271772,1.1329
56,336,122656,0.5113
57,342,158960,0.6627
58,348,188372,0.7853
59,354,72443,0.3020
60,360,192489,0.8024
