omega,dN,6dN,count
0,20,120,1
1,1,6,5183
1,2,12,6861
1,3,18,3969
1,4,24,4685
1,5,30,10747
1,6,36,5875
1,7,42,7881
1,8,48,4958
1,9,54,6078
1,10,60,6733
1,11,66,5095
1,12,72,4584
1,13,78,6896
1,14,84,6328
1,15,90,11517
1,16,96,4697
1,17,102,3416
1,18,108,3188
1,19,114,4718
1,20,120,9729
1,21,126,5242
1,22,132,5805
1,23,138,4308
1,24,144,3032
1,25,150,5157
1,26,156,5325
1,27,162,3570
1,28,168,5248
1,29,174,4148
1,30,180,7010
1,31,186,3148
1,32,192,2217
1,33,198,4026
1,34,204,3700
1,35,210,10580
1,36,216,2872
1,37,222,3991
1,38,228,2127
1,39,234,2321
1,40,240,6309
1,41,246,3167
1,42,252,3960
1,43,258,2778
1,44,264,3214
1,45,270,3221
1,46,276,2002
1,47,282,2329
1,48,288,3151
1,49,294,2980
1,50,300,4925
1,51,306,3104
1,52,312,1674
1,53,318,1665
1,54,324,2526
1,55,330,5234
1,56,336,2694
1,57,342,2555
1,58,348,1971
1,59,354,1398
1,60,360,2485
1,61,366,2087
1,62,372,2320
1,63,378,2641
1,64,384,1817
1,65,390,4400
1,66,396,1392
1,67,402,1204
1,68,408,2101
1,69,414,1733
1,70,420,4476
1,71,426,1501
1,72,432,1320
1,73,438,1117
1,74,444,1058
1,75,450,2923
1,76,456,1439
1,77,462,2297
1,78,468,1455
1,79,474,1601
1,80,480,1691
1,81,486,887
1,82,492,1524
1,83,498,1063
1,84,504,1646
1,85,510,2400
1,86,516,1253
1,87,522,770
1,88,528,1011
1,89,534,1145
1,90,540,2088
1,91,546,1596
1,92,552,1184
1,93,558,1049
1,94,564,524
1,95,570,1651
1,96,576,867
1,97,582,1007
1,98,588,1141
1,99,594,1019
1,100,600,1706
1,101,606,647
1,102,612,592
1,103,618,880
1,104,624,791
1,105,630,1953
1,106,636,923
1,107,642,648
1,108,648,649
1,109,654,447
1,110,660,1573
1,111,666,746
1,112,672,840
1,113,678,677
1,114,684,691
1,115,690,849
1,116,696,404
1,117,702,788
1,118,708,512
1,119,714,1113
1,120,720,1063
1,121,726,759
1,122,732,356
1,123,738,389
1,124,744,488
1,125,750,1030
1,126,756,696
1,127,762,477
1,128,768,528
1,129,774,287
1,130,780,942
1,131,786,409
1,132,792,602
1,133,798,552
1,134,804,497
1,135,810,691
1,136,816,385
1,137,822,224
1,138,828,402
1,139,834,479
1,140,840,821
1,141,846,432
1,142,852,370
1,143,858,316
1,144,864,178
1,145,870,844
1,146,876,347
1,147,882,553
1,148,888,277
1,149,894,292
1,150,900,466
1,151,906,173
1,152,912,341
1,153,918,292
1,154,924,487
1,155,930,526
1,156,936,363
1,157,942,153
1,158,948,201
1,159,954,233
1,160,960,512
1,161,966,359
1,162,972,211
1,163,978,248
1,164,984,119
1,165,990,442
1,166,996,184
1,167,1002,259
1,168,1008,254
1,169,1014,243
1,170,1020,391
1,171,1026,169
1,172,1032,128
1,173,1038,217
1,174,1044,210
1,175,1050,399
1,176,1056,256
1,177,1062,166
1,178,1068,121
1,179,1074,105
1,180,1080,370
1,181,1086,137
1,182,1092,207
1,183,1098,181
1,184,1104,185
1,185,1110,193
1,186,1116,116
1,187,1122,190
1,188,1128,157
1,189,1134,165
1,190,1140,266
1,191,1146,143
1,192,1152,74
1,193,1158,82
1,194,1164,125
1,195,1170,253
1,196,1176,161
1,197,1182,119
1,198,1188,149
1,199,1194,63
1,200,1200,119
1,>200,,6003
2,1,6,10443
2,2,12,21636
2,3,18,13829
2,4,24,11625
2,5,30,30883
2,6,36,11545
2,7,42,26399
2,8,48,15779
2,9,54,13000
2,10,60,20860
2,11,66,12237
2,12,72,16198
2,13,78,19733
2,14,84,14125
2,15,90,27056
2,16,96,10399
2,17,102,12507
2,18,108,11925
2,19,114,10947
2,20,120,22713
2,21,126,12029
2,22,132,17567
2,23,138,15471
2,24,144,6639
2,25,150,16286
