omega,n_gaps,mean_dN,mode_dN,mode_6dN,mode_share_%,top1_6dN,top2_6dN,top3_6dN
0,1,20.000,20,120,100.000,120(100.00%),,
1,385506,50.021,15,90,2.988,90(2.99%),30(2.79%),210(2.74%)
2,1056117,50.133,5,30,2.924,30(2.92%),210(2.59%),90(2.56%)
3,1038351,50.319,5,30,3.095,30(3.09%),42(2.94%),210(2.35%)
4,432013,50.589,7,42,3.586,42(3.59%),30(3.38%),60(2.73%)
5,69284,50.755,7,42,3.948,42(3.95%),30(3.61%),60(3.43%)
6,2905,51.319,10,60,4.923,60(4.92%),102(4.82%),72(4.78%)
7,16,45.688,10,60,12.500,60(12.50%),228(12.50%),138(12.50%)
