omega,dN,6dN,count
0,12,72,1
1,1,6,29189
1,2,12,38732
1,3,18,22435
1,4,24,26224
1,5,30,61287
1,6,36,33593
1,7,42,45377
1,8,48,29004
1,9,54,35202
1,10,60,39806
1,11,66,29970
1,12,72,27105
1,13,78,40221
1,14,84,38950
1,15,90,68465
1,16,96,27250
1,17,102,20895
1,18,108,19270
1,19,114,28597
1,20,120,59194
1,21,126,31340
1,22,132,35372
1,23,138,26573
1,24,144,18953
1,25,150,31792
1,26,156,32527
1,27,162,22401
1,28,168,32996
1,29,174,25292
1,30,180,44200
1,31,186,20107
1,32,192,14068
1,33,198,24693
1,34,204,23540
1,35,210,68532
1,36,216,18660
1,37,222,25836
1,38,228,13642
1,39,234,15255
1,40,240,41610
1,41,246,21489
1,42,252,26228
1,43,258,19087
1,44,264,21833
1,45,270,21682
1,46,276,13199
1,47,282,15685
1,48,288,22056
1,49,294,20164
1,50,300,34176
1,51,306,20816
1,52,312,11519
1,53,318,11661
1,54,324,17726
1,55,330,36683
1,56,336,19432
1,57,342,18798
1,58,348,13453
1,59,354,9319
1,60,360,17222
1,61,366,14737
1,62,372,16658
1,63,378,19443
1,64,384,12964
1,65,390,31906
1,66,396,9817
1,67,402,8797
1,68,408,15733
1,69,414,13331
1,70,420,33118
1,71,426,11333
1,72,432,10041
1,73,438,8694
1,74,444,8091
1,75,450,22455
1,76,456,11715
1,77,462,17336
1,78,468,11022
1,79,474,12072
1,80,480,13062
1,81,486,6704
1,82,492,11658
1,83,498,8627
1,84,504,13089
1,85,510,18455
1,86,516,10636
1,87,522,5941
1,88,528,8457
1,89,534,9459
1,90,540,17270
1,91,546,13255
1,92,552,9768
1,93,558,8663
1,94,564,4536
1,95,570,13731
1,96,576,7777
1,97,582,8471
1,98,588,9721
1,99,594,9254
1,100,600,14864
1,101,606,5342
1,102,612,5302
1,103,618,7216
1,104,624,7125
1,105,630,17056
1,106,636,8094
1,107,642,5744
1,108,648,5663
1,109,654,3618
1,110,660,14055
1,111,666,6558
1,112,672,8273
1,113,678,6099
1,114,684,6529
1,115,690,8266
1,116,696,3809
1,117,702,7260
1,118,708,4958
1,119,714,9820
1,120,720,9241
1,121,726,6998
1,122,732,3179
1,123,738,3874
1,124,744,4459
1,125,750,10709
1,126,756,6320
1,127,762,4049
1,128,768,5389
1,129,774,2598
1,130,780,9357
1,131,786,3862
1,132,792,5726
1,133,798,5941
1,134,804,4942
1,135,810,7160
1,136,816,3607
1,137,822,2223
1,138,828,3812
1,139,834,4803
1,140,840,8725
1,141,846,4448
1,142,852,3727
1,143,858,3454
1,144,864,1884
1,145,870,8824
1,146,876,3301
1,147,882,5133
1,148,888,2931
1,149,894,2923
1,150,900,5051
1,151,906,1876
1,152,912,3786
1,153,918,3233
1,154,924,5117
1,155,930,5670
1,156,936,3931
1,157,942,1773
1,158,948,2380
1,159,954,2481
1,160,960,5375
1,161,966,3861
1,162,972,2230
1,163,978,2630
1,164,984,1656
1,165,990,4937
1,166,996,2088
1,167,1002,2878
1,168,1008,3016
1,169,1014,3048
1,170,1020,4291
1,171,1026,1698
1,172,1032,1596
1,173,1038,2378
1,174,1044,2324
1,175,1050,4817
1,176,1056,2815
1,177,1062,1845
1,178,1068,1562
1,179,1074,1189
1,180,1080,4518
1,181,1086,1850
1,182,1092,2652
1,183,1098,1871
1,184,1104,2139
1,185,1110,2397
1,186,1116,1309
1,187,1122,2378
1,188,1128,1651
1,189,1134,2067
1,190,1140,3467
1,191,1146,2043
1,192,1152,873
1,193,1158,1192
1,194,1164,1496
1,195,1170,3234
1,196,1176,2247
1,197,1182,1406
1,198,1188,1858
1,199,1194,937
1,200,1200,1742
1,>200,,99979
2,1,6,62966
2,2,12,127531
2,3,18,82270
2,4,24,69208
2,5,30,184047
2,6,36,70741
2,7,42,156776
2,8,48,94307
2,9,54,80856
2,10,60,126927
2,11,66,74014
2,12,72,97728
2,13,78,121919
